2018-06-19 19:00:00,110.792,High,2902
2018-06-20 07:00:00,110.303,Low,2914
2018-06-22 03:00:00,111.42,High,2958
2018-06-25 02:00:00,110.668,Low,2981
2018-06-25 15:00:00,111.477,High,2994
2018-06-26 07:00:00,110.766,Low,3010
2018-06-26 20:00:00,111.142,High,3023
2018-06-28 08:00:00,110.303,Low,3059
2018-06-29 15:00:00,111.906,High,3090
2018-07-02 10:00:00,111.183,Low,3109
2018-07-03 04:00:00,111.937,High,3127
2018-07-04 23:00:00,111.008,Low,3170
2018-07-05 08:00:00,111.666,High,3179
2018-07-05 17:00:00,111.068,Low,3188
2018-07-06 09:00:00,111.75,High,3204
2018-07-08 17:00:00,111.321,Low,3212
2018-07-09 04:00:00,112.033,High,3223
2018-07-09 11:00:00,111.625,Low,3230
2018-07-10 03:00:00,112.07,High,3246
2018-07-10 07:00:00,111.744,Low,3250
2018-07-10 13:00:00,112.169,High,3256
2018-07-10 21:00:00,111.596,Low,3264
2018-07-12 03:00:00,112.969,High,3294
2018-07-12 17:00:00,112.165,Low,3308
2018-07-12 23:00:00,112.457,High,3314
2018-07-13 07:00:00,111.86,Low,3322
2018-07-17 10:00:00,113.26,High,3373
2018-07-18 04:00:00,112.651,Low,3391
2018-07-18 16:00:00,113.006,High,3403
2018-07-24 17:00:00,111.724,Low,3500
2018-07-25 05:00:00,112.167,High,3512
2018-07-25 13:00:00,111.528,Low,3520
2018-07-25 16:00:00,112.011,High,3523
2018-07-27 08:00:00,111.325,Low,3563
2018-07-27 15:00:00,111.674,High,3570
2018-07-29 17:00:00,111.335,Low,3572
2018-07-31 10:00:00,113.177,High,3613
2018-08-01 01:00:00,112.708,Low,3628
2018-08-01 03:00:00,113.097,High,3630
2018-08-02 08:00:00,111.911,Low,3659
2018-08-03 07:00:00,112.327,High,3682
2018-08-06 17:00:00,111.576,Low,3716
2018-08-08 00:00:00,112.021,High,3747
2018-08-08 05:00:00,111.33,Low,3752
2018-08-08 17:00:00,111.8,High,3764
2018-08-08 21:00:00,111.458,Low,3768
2018-08-09 09:00:00,112.088,High,3780
2018-08-13 03:00:00,110.705,Low,3822
2018-08-14 03:00:00,112.083,High,3846
2018-08-15 10:00:00,110.964,Low,3877
2018-08-16 01:00:00,111.807,High,3892
2018-08-17 08:00:00,110.814,Low,3923
2018-08-20 03:00:00,111.237,High,3942
2018-08-20 17:00:00,110.781,Low,3956
2018-08-21 14:00:00,112.145,High,3977
2018-08-21 17:00:00,111.728,Low,3980
2018-08-26 19:00:00,113.338,High,4054
2018-08-27 02:00:00,112.789,Low,4061
2018-08-27 13:00:00,113.451,High,4072
2018-08-27 17:00:00,113.113,Low,4076
2018-08-28 12:00:00,113.963,High,4095
2018-08-28 17:00:00,113.507,Low,4100
2018-08-30 04:00:00,115.292,High,4135
2018-08-30 17:00:00,114.257,Low,4148
2018-08-31 03:00:00,114.937,High,4158
2018-09-02 23:00:00,114.269,Low,4178
2018-09-03 10:00:00,114.678,High,4189
2018-09-03 17:00:00,114.336,Low,4196
2018-09-04 02:00:00,114.747,High,4205
2018-09-04 09:00:00,114.021,Low,4212
2018-09-04 21:00:00,114.683,High,4224
2018-09-05 03:00:00,114.222,Low,4230
2018-09-07 10:00:00,115.092,High,4285
2018-09-10 17:00:00,113.856,Low,4316
2018-09-11 16:00:00,114.809,High,4339
2018-09-12 09:00:00,114.318,Low,4356
2018-09-14 04:00:00,116.099,High,4399
2018-09-14 16:00:00,115.542,Low,4411
